Tier,Brand / Company Name,Headquarters / India Presence,Products / Focus,Email,Email 2
Tier 1 - Premium,Abbott (FreeStyle Libre),"Mumbai, Maharashtra (Abbott India Ltd)",Continuous Glucose Monitoring,adc-cs.in@abbott.com,
Tier 1 - Premium,Accu-Chek,"Mumbai, Maharashtra (Roche Diabetes Care India)",Blood Glucose Monitoring,india.accu-chek@roche.com,
Tier 1 - Premium,Apollo Neuroscience,"Pittsburgh, USA (Global HQ)",Wearables using touch therapy for sleep,support@apolloneuro.com,
Tier 1 - Premium,Arjo,"Mumbai, Maharashtra (ArjoHuntleigh Healthcare India)",High-end alternating pressure mattresses,india.sales@arjo.com,
Tier 1 - Premium,Beurer India,"Gurugram, Haryana (Beurer India Pvt Ltd)",German-engineered health devices,info@beurer-india.com,
Tier 1 - Premium,BTL Physiotherapy,"Bengaluru, Karnataka (BTL India Pvt Ltd)","Laser therapy, shockwave therapy",info@btlnet.co.in,
Tier 1 - Premium,CarePredict,"Plantation, Florida (Global) / Bengaluru (R&D)",AI wearables for independent living,info@carepredict.com,
Tier 1 - Premium,Chattanooga,"Chennai, Tamil Nadu (Enovis / DJO India)","Rehabilitation equipment, electrotherapy",sunil.mathew@enovis.com,
Tier 1 - Premium,ChiliSleep,"Mooresville, North Carolina (Sleepme Inc)",Sleep cooling systems,help@sleep.me,sales@sleepme.com
Tier 1 - Premium,Chirp,"Draper, Utah (Global HQ)",Back rollers and posture correction,support@gochirp.com,
Tier 1 - Premium,Dodow,"Paris, France (Livlab)",Light metronomes for sleep induction,contact@mydodow.com,sales@livlab.care
Tier 1 - Premium,Dozee,"Bengaluru, Karnataka (Turtle Shell Technologies)",Contactless Vitals Monitoring (Under-mattress),support@dozee.health,
Tier 1 - Premium,Eight Sleep,"New York City, New York (Global HQ)",Smart mattress covers with thermal regulation,bizdev@eightsleep.com,
Tier 1 - Premium,Elysium Health,"New York City, New York (Global HQ)",NAD+ and cellular aging supplements,eric@elysiumhealth.com,
Tier 1 - Premium,E-pill,"Wellesley, Massachusetts (e-pill, LLC)",Automated secure pill dispensing,sales@epill.com,
Tier 1 - Premium,Esleh Wheelchairs,New Delhi (Anand International),Heavy-duty electric & stair-climbing,sales@esleh.com,info@esleh.com
Tier 1 - Premium,Evox Therapeutics,"Mohali, Punjab (Evox Group India)",Premium power wheelchairs,enquiries@evoxtherapeutics.com,
Tier 1 - Premium,Firefly Recovery,marketing@fireflyrecovery.com,Wearable athletic recovery stimulation,support@fireflyrecovery.com,
Tier 1 - Premium,Foldawheel,"Sold via regional dealers (e.g., Planet Trading in Kerala).",Ultra-lightweight travel wheelchairs,info@foldawheel.com,
Tier 1 - Premium,Frido,Partnership Page,"Premium gel seat cushions, ortho insoles",mobility@myfrido.com,
Tier 1 - Premium,Godrej Interio (Healthcare),"Mumbai, Maharashtra (Godrej & Boyce Mfg. Co.)","Hospital beds, reclining lounge chairs",interiocare@godrej.com,
Tier 1 - Premium,Hero Health,"New York City, New York (Global HQ)",Smart Medication Dispensers,partnerships@herohealth.com,
Tier 1 - Premium,HVMN,Partnership Portal,Ketone-IQ for functional energy,care@hvmn.com,
Tier 1 - Premium,Hyperice,"Irvine, California (Global) / Mumbai (Regional Partner)","Normatec boots, Venom wraps, massage guns",sales@hyperice.com,
Tier 1 - Premium,Invacare,"India sales often via authorized distributors (e.g., Medikart).",Standard and power wheelchairs,info@invacare.com,
Tier 1 - Premium,Kapiva,Partner Enquiry,Modern Ayurvedic supplements,info@kapiva.in,
Tier 1 - Premium,Kinetisense,Best for B2B clinical integration.,Markerless motion capture,info@kinetisense.com,
Tier 1 - Premium,KosmoCare,Chandigarh (Kosmocare Lifesciences Pvt Ltd),Premium imported commodes and grab bars,info@kosmocare.in,
Tier 1 - Premium,KT Tape,Sold via distributors like Vision Body Care (Ludhiana).,Kinesiology therapeutic tape,support@kttape.com,
Tier 1 - Premium,Levels,"New York City, New York (Global HQ)",Metabolic Health & CGM Platform,support@levelshealth.com,
Tier 1 - Premium,Lumen,"New York City, New York / Tel Aviv, Israel",Metabolic tracking via breath analysis,support@lumen.me,
Tier 1 - Premium,MedaCube,Manufactured by PharmAdva.,Advanced pill dispensers,info@medacube.com,
Tier 1 - Premium,Midmark India,Contact Page,"Motorized ICU beds, premium clinical furniture",customersupportindia@midmark.com,
Tier 1 - Premium,Momentous,partnerships@livemomentous.com,High-performance recovery nutrition,help@livemomentous.com,
Tier 1 - Premium,Muse,"Toronto, Canada (Interaxon Inc)",Brain-sensing headbands for meditation/recovery,partners@choosemuse.com,
Tier 1 - Premium,Nima,"Somerville, Massachusetts (Nima Partners)",Portable gluten/allergen sensors,customerservice@nimanow.com,
Tier 1 - Premium,Nobi,Smart lamp for fall detection.,AI-powered lamps for fall detection,info@nobi.life,
Tier 1 - Premium,Nutrisense,"Chicago, Illinois (Global HQ)",Dietitian-backed CGM Tracking,support@nutrisense.io,
Tier 1 - Premium,Ostrich Mobility,Dealer Enquiry,Customized power wheelchairs,sales@ostrichmobility.com,
Tier 1 - Premium,Ottobock India,"Mumbai, Maharashtra (Ottobock Healthcare India)","High-end active wheelchairs, prosthetics",information@ottobock.in,
Tier 1 - Premium,Oura Health,"Oulu, Finland / San Francisco, USA",Sleep and Readiness Smart Rings,partnerships@ouraring.com,
Tier 1 - Premium,Paramount Bed India,"Unit 05, 5th Floor, Tower B, Capital Business Park, Gurugram",High-end Japanese homecare beds,m.take@paramountbed.co.in,
Tier 1 - Premium,Pedag,"Sold via importers/distributors (e.g., Amazon/Ubuy).",Handmade orthopedic insoles,export@pedag.de,
Tier 1 - Premium,Pee Safe,"Gurugram, Haryana (Redcliffe Hygiene Pvt Ltd)","Toilet hygiene, adult care, sanitizers",care@peesafe.com,
Tier 1 - Premium,Pride Mobility,India Subsidiary: NUK Healthcare.,"Lift chairs, mobility scooters",sales@wheelchairsolution.com,
Tier 1 - Premium,Rehamo,"Bengaluru, Karnataka (Rehamo Rehab & Mobility)",Aesthetic assisted living and hygiene products,info@rehamo.com,
Tier 1 - Premium,SandPuppy,"Pune, Maharashtra (Afferent Wearable Tech)",Smartphone-controlled heating/cold pads,info@sandpuppy.in,
Tier 1 - Premium,Scholl,Footwear often licensed to local distributors.,"Orthopedic footwear, gel insoles",customercare@scholl-shoes.com,
Tier 1 - Premium,Sleep Company,"Mumbai, Maharashtra (The Sleep Company)","Smart adjustable beds, smart grids",care@thesleepcompany.in,
Tier 1 - Premium,Sunrise Medical,Global brand; often sold via dealers like Medikart.,Manual and power wheelchairs,info@sunriseindustries.co,
