Date ,Store Manager Name ,Clinic Name ,City ,Email ,Phone Number ,Google Map Link ,POC,REMARKS ,Other Phone Number
2026-09-22,Pending Assignment,Contact Quantum Physiotherapy Bangalore,Bangalore,N/A,+919742792625,https://www.google.com/maps/search/Contact%20Quantum%20Physiotherapy%20Bangalore%20Bangalore,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,"Physiotherapy in Bangalore, Inside 50+ Hospitals",Bangalore,N/A,+919880849999,https://www.google.com/maps/search/Physiotherapy%20in%20Bangalore%2C%20Inside%2050%2B%20Hospitals%20Bangalore,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Bangalore Physical Therapy Clinics,Bangalore,N/A,+918951047001,https://www.google.com/maps/search/Bangalore%20Physical%20Therapy%20Clinics%20Bangalore,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Omniphysiocare Clinic,Bangalore,N/A,+917483397055,https://www.google.com/maps/search/Omniphysiocare%20Clinic%20Bangalore,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Advance Physiotherapy clinic,Pune,N/A,+918983377312,https://www.google.com/maps/search/Advance%20Physiotherapy%20clinic%20Pune,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Physiotherapy Welfare Point,Chennai,N/A,+918122563923,https://www.google.com/maps/search/Physiotherapy%20Welfare%20Point%20Chennai,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,THE PHYSIORA MULTI SPECIALITY CENTER To Book Appointment ...,Chennai,N/A,+918148814810,https://www.google.com/maps/search/THE%20PHYSIORA%20MULTI%20SPECIALITY%20CENTER%20To%20Book%20Appointment%20...%20Chennai,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Riyaz Ali,Delhi,readytorunphysio@gmail.com,+917572028681,https://www.google.com/maps/search/Riyaz%20Ali%20Delhi,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Advanceglobalhealth Clinic,Delhi,N/A,+917895111555,https://www.google.com/maps/search/Advanceglobalhealth%20Clinic%20Delhi,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,The urban physio care +91,Bangalore,N/A,+917892836140,https://www.google.com/maps/search/The%20urban%20physio%20care%20%2B91%20Bangalore,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
